variant	test	reason
btc	tests.test_msg_cosmos_getaddress.TestMsgCosmosGetAddress::test_cosmos_get_address_sep	Full feature firmware required to run this test
btc	tests.test_msg_cosmos_getaddress.TestMsgCosmosGetAddress::test_nonstandard	Full feature firmware required to run this test
btc	tests.test_msg_cosmos_getaddress.TestMsgCosmosGetAddress::test_onchain	Full feature firmware required to run this test
btc	tests.test_msg_cosmos_getaddress.TestMsgCosmosGetAddress::test_standard	Full feature firmware required to run this test
btc	tests.test_msg_cosmos_signtx.TestMsgCosmosSignTx::test_cosmos_sign_tx	Full feature firmware required to run this test
btc	tests.test_msg_cosmos_signtx.TestMsgCosmosSignTx::test_cosmos_sign_tx_memo	Full feature firmware required to run this test
btc	tests.test_msg_cosmos_signtx.TestMsgCosmosSignTx::test_onchain1	Full feature firmware required to run this test
btc	tests.test_msg_cosmos_signtx.TestMsgCosmosSignTx::test_onchain2	Full feature firmware required to run this test
btc	tests.test_msg_eip712_streaming.TestMsgEip712Streaming::test_advanced_mode_is_not_required_for_structured_review	Full feature firmware required to run this test
btc	tests.test_msg_eip712_streaming.TestMsgEip712Streaming::test_array_of_structs_walks	Full feature firmware required to run this test
btc	tests.test_msg_eip712_streaming.TestMsgEip712Streaming::test_fixed_array_length_must_match_the_declared_size	Full feature firmware required to run this test
btc	tests.test_msg_eip712_streaming.TestMsgEip712Streaming::test_multidimensional_arrays_walk_outermost_first_on_device	Full feature firmware required to run this test
btc	tests.test_msg_eip712_streaming.TestMsgEip712Streaming::test_permit2_batch_walks_realistic_nested_array	Full feature firmware required to run this test
btc	tests.test_msg_eip712_streaming.TestMsgEip712Streaming::test_spec_example_matches_the_published_hashes	Full feature firmware required to run this test
btc	tests.test_msg_eos_getpublickey.TestMsgEosGetPublicKey::test	Full feature firmware required to run this test
btc	tests.test_msg_eos_getpublickey.TestMsgEosGetPublicKey::test_trezor	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_action_deficit	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_action_surplus	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_buyram	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_buyrambytes	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_delegatebw	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_deleteauth	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_buyram	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_buyrambytes	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_delegate	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_deleteauth	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_linkauth	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_newaccount	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_refund	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_sellram	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_setcontract	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_transfer_token	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_undelegate	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_unknown	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_unlinkauth	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_updateauth	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_vote	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_eos_signtx_vote_proxy	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_linkauth	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_name_to_number	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_newaccount	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_refund	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_sellram	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_transfer	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_undelegatebw	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_unknown_advanced	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_unlinkauth	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_updateauth	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_voteproducer	Full feature firmware required to run this test
btc	tests.test_msg_eos_signtx.TestMsgEosSignTx::test_wrong_account	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_cfunc.TestMsgEthereumCfunc::test_sign_execTx	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_advanced_mode_gate	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_binding_happy_path_signs_and_recovers	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_cancel_clears_metadata_not_reused	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_aave_v3_pool_borrow	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_aave_v3_pool_repay	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_aave_v3_pool_withdraw	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_across_spokepool_depositv3	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_batch_all_payloads	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_compound_governor_bravo_castvote	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_compound_iii_comet_usdc_supply	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_compound_v3_comet_supply	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_compound_v3_comet_withdraw	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_curve_3pool_exchange	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_dai_permit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_eigenlayer_strategymanager_deposit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_eigenlayer_strategymanager_deposit_steth	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_eip2612_usdc_permit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_eip7702_setcode_authorization	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_ens_public_resolver_setaddr	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc1155_opensea_storefront_set_approval_for_all	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc1155_safe_batch_transfer_from	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc1155_safe_transfer_from	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc20_approve	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc20_approve_unlimited	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc20_transfer	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc20_transferfrom	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc20_usdc_decrease_allowance	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc20_usdc_increase_allowance	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc4337_entrypoint_v0_7_handleops	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc721_bayc_set_approval_for_all	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_erc721_safe_transfer_from	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_etherfi_liquiditypool_deposit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_hop_protocol_l1_bridge_sendtol2	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_lido_steth_submit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_metamorpho_steakhouse_usdc_deposit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_metamorpho_steakhouse_usdc_withdraw	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_permit2_approve	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_permit2_permit_transfer_from	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_rocketpool_deposit_pool_deposit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_safe_addownerwiththreshold	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_safe_exectransaction	EthereumTxMetadata not supported by this firmware build
